Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
3198.198198,47.45880854,69.53623537
3203.203203,47.51762295,69.6466291
3208.208208,47.57627885,69.7568244
3213.213213,47.63477644,69.86682172
3218.218218,47.69311593,69.97662152
3223.223223,47.75129753,70.08622427
3228.228228,47.80932145,70.19563042
3233.233233,47.8671879,70.30484043
3238.238238,47.92489708,70.41385476
3243.243243,47.98244921,70.52267388
3248.248248,48.0398445,70.63129824
3253.253253,48.09708315,70.73972829
3258.258258,48.15416537,70.84796451
3263.263263,48.21109138,70.95600735
3268.268268,48.26786137,71.06385727
3273.273273,48.32447557,71.17151473
3278.278278,48.38093417,71.27898018
3283.283283,48.43723739,71.3862541
3288.288288,48.49338544,71.49333694
3293.293293,48.54937852,71.60022915
3298.298298,48.60521685,71.70693121
3303.303303,48.66090063,71.81344356
3308.308308,48.71643008,71.91976667
3313.313313,48.77180539,72.02590099
3318.318318,48.82702679,72.131847
3323.323323,48.88209447,72.23760514
3328.328328,48.93700866,72.34317588
3333.333333,48.99176955,72.44855967
3338.338338,49.04637735,72.55375698
3343.343343,49.10083229,72.65876827
3348.348348,49.15513455,72.76359399
3353.353353,49.20928436,72.86823461
3358.358358,49.26328192,72.97269058
3363.363363,49.31712745,73.07696236
3368.368368,49.37082114,73.18105043
3373.373373,49.42436321,73.28495522
3378.378378,49.47775387,73.38867721
3383.383383,49.53099332,73.49221685
3388.388388,49.58408179,73.59557461
3393.393393,49.63701946,73.69875094
3398.398398,49.68980656,73.8017463
3403.403403,49.7424433,73.90456115
3408.408408,49.79492987,74.00719596
3413.413413,49.84726649,74.10965117
3418.418418,49.89945338,74.21192726
3423.423423,49.95149073,74.31402468
3428.428428,50.00337876,74.41594389
3433.433433,50.05511768,74.51768535
3438.438438,50.10670769,74.61924953
3443.443443,50.15814901,74.72063687
3448.448448,50.20944184,74.82184784
3453.453453,50.26058639,74.9228829
3458.458458,50.31158288,75.02374251
3463.463463,50.3624315,75.12442713
3468.468468,50.41313247,75.22493722
3473.473473,50.463686,75.32527323
3478.478478,50.5140923,75.42543564
3483.483483,50.56435158,75.52542489
3488.488488,50.61446404,75.62524145
3493.493493,50.66442989,75.72488577
3498.498498,50.71424935,75.82435833
3503.503504,50.76392261,75.92365957
3508.508509,50.8134499,76.02278995
3513.513514,50.86283142,76.12174995
3518.518519,50.91206738,76.22054
3523.523524,50.96115798,76.31916059
3528.528529,51.01010345,76.41761216
3533.533534,51.05890397,76.51589517
3538.538539,51.10755978,76.61401009
3543.543544,51.15607106,76.71195737
3548.548549,51.20443804,76.80973747
3553.553554,51.25266092,76.90735086
3558.558559,51.30073991,77.004798
3563.563564,51.34867522,77.10207933
3568.568569,51.39646706,77.19919533
3573.573574,51.44411563,77.29614645
3578.578579,51.49162115,77.39293316
3583.583584,51.53898383,77.4895559
3588.588589,51.58620387,77.58601515
3593.593594,51.63328148,77.68231136
3598.598599,51.68021688,77.77844499
3603.603604,51.72701027,77.8744165
3608.608609,51.77366185,77.97022635
3613.613614,51.82017185,78.065875
3618.618619,51.86654046,78.16136291
3623.623624,51.9127679,78.25669054
3628.628629,51.95885438,78.35185835
3633.633634,52.0048001,78.4468668
3638.638639,52.05060528,78.54171635
3643.643644,52.09627012,78.63640746
3648.648649,52.14179483,78.73094058
3653.653654,52.18717962,78.82531619
3658.658659,52.2324247,78.91953473
3663.663664,52.27753028,79.01359666
3668.668669,52.32249656,79.10750246
3673.673674,52.36732376,79.20125257
3678.678679,52.41201209,79.29484746
3683.683684,52.45656176,79.38828758
3688.688689,52.50097296,79.4815734
3693.693694,52.54524592,79.57470538
3698.698699,52.58938084,79.66768397
3703.703704,52.63337793,79.76050963
