Slip Angle [deg],Lateral Force [N],Normal Load [N],Camber Angle [deg],Tyre Pressure [kPa],Temperature [C]
1.84,330.17,200.0,0,200,25
1.79,325.99,200.0,0,200,25
1.76,320.73,200.0,0,200,25
1.72,311.68,200.0,0,200,25
1.67,300.87,200.0,0,200,25
1.64,293.57,200.0,0,200,25
1.59,287.93,200.0,0,200,25
1.58,284.74,200.0,0,200,25
1.53,282.58,200.0,0,200,25
1.49,281.55,200.0,0,200,25
1.43,281.48,200.0,0,200,25
1.41,276.72,200.0,0,200,25
1.34,273.3,200.0,0,200,25
1.3,268.31,200.0,0,200,25
1.27,260.03,200.0,0,200,25
1.21,249.59,200.0,0,200,25
1.2,240.57,200.0,0,200,25
1.16,233.6,200.0,0,200,25
1.11,227.46,200.0,0,200,25
1.07,224.5,200.0,0,200,25
1.02,220.25,200.0,0,200,25
0.99,217.12,200.0,0,200,25
0.95,212.55,200.0,0,200,25
0.91,208.74,200.0,0,200,25
0.85,202.38,200.0,0,200,25
0.82,194.89,200.0,0,200,25
0.8,185.7,200.0,0,200,25
0.75,176.89,200.0,0,200,25
0.7,168.78,200.0,0,200,25
0.68,159.65,200.0,0,200,25
0.62,153.82,200.0,0,200,25
0.59,146.74,200.0,0,200,25
0.53,141.21,200.0,0,200,25
0.5,134.81,200.0,0,200,25
0.46,128.08,200.0,0,200,25
0.44,120.39,200.0,0,200,25
0.4,113.31,200.0,0,200,25
0.35,103.28,200.0,0,200,25
0.33,96.13,200.0,0,200,25
0.27,84.69,200.0,0,200,25
0.25,75.37,200.0,0,200,25
0.19,68.0,200.0,0,200,25
0.16,60.79,200.0,0,200,25
0.13,52.37,200.0,0,200,25
0.1,45.32,200.0,0,200,25
0.03,37.48,200.0,0,200,25
0.01,28.69,200.0,0,200,25
-0.03,19.4,200.0,0,200,25
-0.08,9.1,200.0,0,200,25
-0.09,3.24,200.0,0,200,25
-0.15,-10.73,200.0,0,200,25
-0.18,-18.18,200.0,0,200,25
-0.23,-28.19,200.0,0,200,25
-0.29,-37.09,200.0,0,200,25
-0.35,-47.66,200.0,0,200,25
-0.39,-55.65,200.0,0,200,25
-0.44,-65.93,200.0,0,200,25
-0.46,-74.25,200.0,0,200,25
-0.5,-85.21,200.0,0,200,25
-0.54,-94.19,200.0,0,200,25
-0.58,-103.94,200.0,0,200,25
-0.62,-112.96,200.0,0,200,25
-0.66,-121.52,200.0,0,200,25
-0.72,-128.12,200.0,0,200,25
-0.73,-135.86,200.0,0,200,25
-0.75,-145.72,200.0,0,200,25
-0.81,-153.41,200.0,0,200,25
-0.85,-161.97,200.0,0,200,25
-0.85,-171.68,200.0,0,200,25
-0.92,-179.38,200.0,0,200,25
-0.93,-187.63,200.0,0,200,25
-1.0,-193.59,200.0,0,200,25
-1.02,-201.2,200.0,0,200,25
-1.06,-205.98,200.0,0,200,25
-1.12,-212.69,200.0,0,200,25
-1.13,-218.59,200.0,0,200,25
-1.18,-225.96,200.0,0,200,25
-1.25,-233.3,200.0,0,200,25
-1.27,-242.28,200.0,0,200,25
-1.31,-253.16,200.0,0,200,25
-1.36,-262.19,200.0,0,200,25
-1.38,-270.31,200.0,0,200,25
-1.43,-275.36,200.0,0,200,25
-1.48,-279.25,200.0,0,200,25
-1.54,-281.85,200.0,0,200,25
-1.59,-284.81,200.0,0,200,25
-1.61,-288.77,200.0,0,200,25
-1.64,-294.82,200.0,0,200,25
-1.7,-300.31,200.0,0,200,25
-1.75,-308.45,200.0,0,200,25
-1.79,-319.27,200.0,0,200,25
-1.8,-329.1,200.0,0,200,25
-1.87,-335.47,200.0,0,200,25
-1.89,-339.21,200.0,0,200,25
-1.93,-339.44,200.0,0,200,25
-1.99,-339.3,200.0,0,200,25
-1.98,-339.69,200.0,0,200,25
-2.05,-338.96,200.0,0,200,25
-2.1,-344.33,200.0,0,200,25
-2.13,-348.73,200.0,0,200,25
-2.18,-359.1,200.0,0,200,25
-2.19,-369.44,200.0,0,200,25
-2.23,-379.34,200.0,0,200,25
-2.27,-387.3,200.0,0,200,25
-2.34,-393.35,200.0,0,200,25
-2.36,-391.51,200.0,0,200,25
-2.39,-390.62,200.0,0,200,25
-2.44,-387.4,200.0,0,200,25
-2.46,-385.59,200.0,0,200,25
-2.53,-388.61,200.0,0,200,25
-2.56,-393.6,200.0,0,200,25
-2.6,-402.73,200.0,0,200,25
-2.66,-413.6,200.0,0,200,25
-2.68,-423.02,200.0,0,200,25
-2.74,-431.6,200.0,0,200,25
-2.74,-436.85,200.0,0,200,25
-2.78,-436.52,200.0,0,200,25
-2.84,-433.53,200.0,0,200,25
-2.88,-428.06,200.0,0,200,25
-2.93,-428.09,200.0,0,200,25
-2.94,-429.21,200.0,0,200,25
-2.99,-432.36,200.0,0,200,25
-3.05,-441.32,200.0,0,200,25
-3.08,-452.92,200.0,0,200,25
-3.13,-463.63,200.0,0,200,25
-3.17,-472.71,200.0,0,200,25
-3.18,-478.96,200.0,0,200,25
-3.25,-481.02,200.0,0,200,25
-3.26,-477.2,200.0,0,200,25
-3.31,-470.41,200.0,0,200,25
-3.35,-466.76,200.0,0,200,25
-3.38,-464.23,200.0,0,200,25
-3.42,-468.45,200.0,0,200,25
-3.48,-475.05,200.0,0,200,25
-3.51,-484.15,200.0,0,200,25
-3.58,-493.33,200.0,0,200,25
-3.61,-501.05,200.0,0,200,25
-3.65,-508.89,200.0,0,200,25
-3.68,-511.6,200.0,0,200,25
-3.71,-509.7,200.0,0,200,25
-3.75,-503.22,200.0,0,200,25
-3.78,-496.04,200.0,0,200,25
-3.82,-492.55,200.0,0,200,25
-3.9,-492.39,200.0,0,200,25
-3.9,-496.62,200.0,0,200,25
-3.93,-504.52,200.0,0,200,25
-3.99,-514.69,200.0,0,200,25
-4.03,-523.8,200.0,0,200,25
-4.06,-532.43,200.0,0,200,25
-4.14,-537.96,200.0,0,200,25
-4.14,-537.13,200.0,0,200,25
-4.19,-531.19,200.0,0,200,25
-4.25,-523.56,200.0,0,200,25
-4.29,-515.61,200.0,0,200,25
-4.33,-513.19,200.0,0,200,25
-4.35,-515.5,200.0,0,200,25
-4.38,-519.36,200.0,0,200,25
-4.44,-529.64,200.0,0,200,25
-4.48,-540.38,200.0,0,200,25
-4.51,-550.51,200.0,0,200,25
-4.58,-557.8,200.0,0,200,25
-4.59,-557.1,200.0,0,200,25
-4.62,-552.8,200.0,0,200,25
-4.69,-545.29,200.0,0,200,25
-4.7,-535.99,200.0,0,200,25
-4.74,-528.26,200.0,0,200,25
-4.8,-528.51,200.0,0,200,25
-4.84,-534.15,200.0,0,200,25
-4.87,-543.79,200.0,0,200,25
